pseudotime,Retina-Sham,Retina-MB,OpticNerve-Sham,OpticNerve-MB
0.56856,0.01117,0.01468,0.0127,0.01945
0.57191,0.01062,0.01544,0.01067,0.02092
0.57525,0.00924,0.01635,0.00888,0.02162
0.5786,0.0074,0.01737,0.00807,0.02152
0.58194,0.00557,0.01849,0.00863,0.02066
0.58528,0.00415,0.01967,0.0104,0.01917
0.58863,0.00335,0.02088,0.01271,0.01721
0.59197,0.0032,0.02213,0.01462,0.01498
0.59532,0.00354,0.02345,0.01528,0.01266
0.59866,0.00419,0.02489,0.01431,0.01044
0.60201,0.00495,0.02653,0.01197,0.00849
0.60535,0.0057,0.02844,0.00894,0.00693
0.6087,0.00645,0.03069,0.00601,0.00585
0.61204,0.00724,0.03332,0.00376,0.00525
0.61538,0.00809,0.03632,0.00247,0.00507
0.61873,0.00899,0.03964,0.00215,0.00519
0.62207,0.00987,0.04316,0.00269,0.00544
0.62542,0.01074,0.04675,0.00387,0.00567
0.62876,0.01165,0.05028,0.00535,0.00571
0.63211,0.0127,0.05365,0.00673,0.00549
0.63545,0.01389,0.0568,0.00754,0.005
0.6388,0.01506,0.05976,0.00752,0.0043
0.64214,0.0159,0.06262,0.00667,0.00351
0.64548,0.01609,0.06554,0.00526,0.00273
0.64883,0.01546,0.06865,0.00368,0.00208
0.65217,0.01413,0.07206,0.0023,0.00163
0.65552,0.01241,0.0758,0.00131,0.00145
0.65886,0.01068,0.07977,0.00075,0.00153
0.66221,0.00924,0.08374,0.0006,0.00189
0.66555,0.0082,0.08737,0.00083,0.00247
0.6689,0.0075,0.09026,0.00149,0.00321
0.67224,0.00698,0.092,0.00257,0.004
0.67559,0.00648,0.09226,0.00401,0.00473
0.67893,0.00585,0.09081,0.00558,0.00526
0.68227,0.00505,0.08758,0.00691,0.00551
0.68562,0.0041,0.08268,0.0076,0.00542
0.68896,0.00309,0.07636,0.00743,0.005
0.69231,0.00217,0.06901,0.00645,0.00434
0.69565,0.00144,0.06107,0.00498,0.00353
0.699,0.00098,0.05298,0.00341,0.0027
0.70234,0.00085,0.04519,0.00208,0.00194
0.70569,0.00109,0.03803,0.00112,0.00132
0.70903,0.00175,0.03178,0.00054,0.00084
0.71237,0.00287,0.0266,0.00023,0.00053
0.71572,0.00442,0.02255,9e-05,0.00035
0.71906,0.00628,0.0196,3e-05,0.0003
0.72241,0.00819,0.01766,1e-05,0.00036
0.72575,0.00979,0.01658,0.0,0.00055
