compound,reversal_score,DAM_up,IFN_up,Chemokine_up,Homeo_down
sunitinib,5.842816714781464,0.0189007197308689,9.998729800589992e-05,0.0709473774154047,
DCC-2036,5.831636622265013,0.1218142129798249,0.0002024212286553,0.0709473774154047,0.0905548033415685
nilotinib,5.744371609522279,0.1218142129798249,0.0002602179927618,0.0709473774154047,0.0905548033415685
linsitinib,5.724657444329424,0.0029838625849412,0.0014117842247002,0.0709473774154047,
BYL719,5.719709266367057,0.0305855492020319,0.0015717821487511,0.0709473774154047,0.0905548033415685
GDC-0980,5.6989392061910396,0.0165162285761727,0.0162513280159264,0.0157365369410499,0.0905548033415685
PHA-665752,5.659086705876933,0.0299062823190676,0.0019246992216088,0.0709473774154047,0.0905548033415685
tanespimycin,5.644775827604535,0.0145173672586583,0.004949880050432,0.0709473774154047,0.0905548033415685
OSI-930,5.620901331126079,0.0127109718653122,0.0003109664551693,0.0709473774154047,
KU-55933,5.596906300355305,0.1218142129798249,0.0003978038289559,0.0709473774154047,0.0905548033415685
PD-0325901,5.596499331535377,0.0151333329099421,0.0054294416509998,0.0709473774154047,0.0901597853860074
nintedanib,5.56404923002163,0.0174052229134849,0.0049775228712902,0.0709473774154047,0.0905548033415685
I-BET,5.510349285480889,0.0250707882950337,0.0007572678951931,0.0171338066262674,
PHA-793887,5.504746044263444,0.0250707882950337,0.012888238831929,0.02059560327509,0.0905548033415685
pelitinib,5.500919740167071,0.0299062823190676,0.0107643393435415,0.0199995647287594,0.0905548033415685
tivozanib,5.421437198092882,0.0250707882950337,0.0047551892331141,0.0709473774154047,0.0905548033415685
XMD-885,5.417739680223269,0.0297511416465583,0.0100467212590809,0.0013611986258435,
XMD-892,5.389822365501652,0.0604072459902647,0.0072797349415492,0.0169085285917282,0.0905548033415685
lapatinib,5.389746361645992,0.0269686263415016,0.0047551892331141,0.0709473774154047,0.0905548033415685
NVP-BGT226,5.380289483125017,0.0127109718653122,0.0236159389105062,0.0375898089034493,0.0905548033415685
NPK76-II-72-1,5.254291653320831,0.0194223296469141,0.000525802244756,0.0709473774154047,
WZ-4-145,5.191083447590951,0.0262755007486298,0.0087022434303177,0.0709473774154047,0.0905548033415685
WZ-3105,5.188230721915212,0.0301048312075603,0.0074018561553872,0.0709473774154047,0.0905548033415685
masitinib,5.187646803935744,0.1218142129798249,6.417748504920754e-05,0.0709473774154047,
JNK-IN-5A,5.153298666868553,0.046484324130739,0.0047551892331141,0.0709473774154047,0.0905548033415685
enzastaurin,5.145856875620394,0.0480857039556522,0.0221489544384609,0.0149164795860727,0.0905548033415685
YM-201636,5.136997179260871,0.0343281025212862,0.0072797349415492,0.0709473774154047,0.0905548033415685
PF 573228,5.094031770716542,0.0052615931516278,0.0858989778764113,0.0709473774154047,0.0905548033415685
vemurafenib,5.062283456192448,0.1218142129798249,0.0044041110431032,0.0298555860084128,0.0905548033415685
LDN-193189,4.966805946417659,0.0250707882950337,0.07933851176809,0.0157365369410499,0.0905548033415685
dovitinib,4.947002837378292,0.0282012763188669,0.0674784840917345,0.0169085285917282,0.0905548033415685
ZSTK-474,4.916572674873715,0.0239065335161897,0.0930614005896247,0.0164524071350269,0.0905548033415685
AS-605240,4.903500553887333,0.0250707882950337,0.1014163051288156,0.0147712473963615,0.0905548033415685
GSK-429286A,4.895952472796218,0.1218142129798249,0.0029913087644264,0.0709473774154047,0.0905548033415685
PF-562271,4.885257487219119,0.0250707882950337,0.089760365948435,0.0175891225490271,0.0905548033415685
AZD-8330,4.858224836772073,0.0267524370582538,0.0930614005896247,0.0169085285917282,0.0905548033415685
roscovitine,4.835284147265702,0.1218142129798249,0.0041866433612614,0.0603624737465757,0.0905548033415685
fostamatinib,4.816273988324717,0.0276231143393633,0.0930614005896247,0.0183298015947087,0.0905548033415685
NVP-AEW541,4.805227323015627,0.0299062823190676,0.0930614005896247,0.0171338066262674,0.0905548033415685
gefitinib,4.800735860457079,0.0269686263415016,0.0930614005896247,0.0197513912877777,0.0905548033415685
TGX-221,4.790264028782791,0.1218142129798249,0.0040548220402153,0.0709473774154047,0.0905548033415685
mitoxantrone,4.772240298735698,0.0250707882950337,0.0308080300054432,0.0709473774154047,0.0905548033415685
tyrphostin-AG-1478,4.75524578591754,0.1218142129798249,0.0002227839843348,0.0709473774154047,
CC-401,4.7471995117526005,0.0301048312075603,0.0263408420198388,0.0709473774154047,0.0905548033415685
XMD-1499,4.743838375454011,0.1211717984940226,0.0002317467978042,0.0709473774154047,
(+)-JQ1,4.740345196584084,0.0163131344858848,0.0105082652992929,0.0193805324673845,
PFI-1,4.686546541091283,0.0233792564221558,0.0092434373687073,0.0164038184047346,
