gene,log2FC,pvalue,padj
Kantr,-1.0426353828965222,0.000636221016659542,0.12189681335830806
L1cam,-1.8551193530304957,0.0006397234548957083,0.12189681335830806
Ctxn3,-4.327727891820109,0.0006430763442476338,0.12189681335830806
Ankrd55,-2.294706433167975,0.0006565078459978375,0.12263369783394086
Stam,-0.7808065564505036,0.0006583140797231311,0.12263369783394086
Rnf10,2.4357689033180794,0.0006810502252940558,0.12372922401763477
Mcat,3.3748559423448814,0.0006816455533303891,0.12372922401763477
Gbp3,1.5604115584576608,0.0006906112045685264,0.12372922401763477
H2-Q5,2.2819364600975334,0.0007031312002897644,0.12372922401763477
Pitpna,3.207376829609876,0.0007037370465101315,0.12372922401763477
Gpr139,-6.151802914922742,0.0007201096917538598,0.12372922401763477
Il36g,1.0448943886442201,0.0007406966260594845,0.12372922401763477
Ppbp,-3.995365573944621,0.0007417930938420432,0.12372922401763477
Msh2,-0.4855568879364718,0.0007484984939969841,0.12372922401763477
Rbfox1,-2.489145961826293,0.0007498614148028229,0.12372922401763477
Siglecf,2.0716250540117294,0.0007524661520194794,0.12372922401763477
Plppr3,-1.3104407076222069,0.0007537081298794826,0.12372922401763477
Pld6,-3.9876941113464337,0.000755521896023032,0.12372922401763477
Selenov,-1.5530603285025386,0.0007600826258057274,0.12372922401763477
Pias2,2.0391085393112576,0.0007666176139385666,0.12372922401763477
Rps19bp1,0.4756970882118008,0.0007674022124193065,0.12372922401763477
Ddx25,-1.757611959577174,0.0007684091401179851,0.12372922401763477
Eps8,-1.0010124256569508,0.0007712013753386856,0.12372922401763477
Pde1a,-2.1809648868338316,0.0007729855727882222,0.12372922401763477
Hdac11,-1.6510919844620062,0.0007815178466335063,0.12417514079340762
Msrb1,-0.7938386283700467,0.0008004797591909679,0.12523315754920705
Txndc11,1.98045993485926,0.0008027227891535794,0.12523315754920705
Rsad2,2.9284838647223896,0.0008058870626760737,0.12523315754920705
Gpbp1,-0.24618144331123482,0.0008113583255536576,0.12523315754920705
Cmah,-1.8716856297143174,0.0008415576000667243,0.12785746787616112
Selenbp1,-0.49396283840992083,0.0008477823345300854,0.12785746787616112
Crtap,3.3746483082158027,0.0008479674952663948,0.12785746787616112
Ccl3,2.4227033089864083,0.0008520281074629645,0.12785746787616112
Rab2a,2.3465590932969196,0.0008630695894880322,0.12862117764997855
Nmi,1.5393706219224956,0.0008751383009141624,0.12952646263324752
Trim12a,1.3344940880601346,0.0009101158910621113,0.13306676310090576
