gene,log2FC,pvalue,padj
Rbm15b,1.2145605148508025,0.001688767722410256,0.15725649524387936
Slc5a11,-2.9309368855905857,0.0016888555898326523,0.15725649524387936
Actn4,-0.326057274682654,0.0016922046732502846,0.15725649524387936
Nanog,1.5597122779188908,0.0016980221242646264,0.15725649524387936
Actl10,-2.024690107328722,0.0017254632090561322,0.1589370286328003
Chrnb2,-0.7789176755236769,0.0017391837331322026,0.1589370286328003
Cntnap3,-5.339888056722675,0.0017401332510337995,0.1589370286328003
Kdm6b,1.825884048160706,0.0017445345816379113,0.1589370286328003
Ptgs2,-4.757305282510766,0.0017523465110717608,0.15900238868882716
Osbpl10,2.2503961668514854,0.0017910834179373951,0.1614789643559015
Tubb6,0.7335345550029242,0.001794050603454376,0.1614789643559015
Rnf138rt1,-2.5250347355770213,0.0018229030880763933,0.16341961603987248
Vmn1r47,0.8843825887150678,0.0018367033608761231,0.1637173180402386
Robo2,-0.5100795328618393,0.0018408336670596164,0.1637173180402386
Crybb3,5.1503776889984,0.0018490134256378054,0.1637948177683577
Klhdc3,-0.461236964476635,0.0018664482534748077,0.16468833959400547
Sox5,-1.5845833641410998,0.0018850351146627385,0.16567610584243644
Or6z3,0.6918594726296554,0.0019224787942531303,0.1683070106906295
Ak1,-0.7386112751035565,0.0019354722812689716,0.16854550773260984
Agtpbp1,2.137379043863712,0.0019465744108394403,0.16854550773260984
Napb,-0.43573345579580547,0.0019480089434358832,0.16854550773260984
Crygd,6.056708418616508,0.0019552843124432694,0.16854550773260984
Atxn7,0.9954445091502029,0.0019753628044795264,0.16929512666480234
Mapk8ip3,-0.7382591286299629,0.001981773276048996,0.16929512666480234
Nrbp1,-0.3751984380046576,0.001986641902232867,0.16929512666480234
Upp1,4.665344770331427,0.001995253445991389,0.1693849251195417
Gm43704,2.7307381127346875,0.0020049790572691925,0.16956826653402696
Myl12b,-0.26937771108721265,0.002024898028394352,0.16991359704814296
Gsk3a,1.306641839766872,0.002030783943816904,0.16991359704814296
Gm14735,0.7260283152123552,0.0020356234050969333,0.16991359704814296
Cep126,1.96274639284987,0.002039387721129326,0.16991359704814296
Calm2,-0.250435714512367,0.002055620148853459,0.17063169917075452
Scube1,5.2067099086230755,0.0020661789135151903,0.17087528343063632
Ldhb,-0.7497477054173096,0.0020813119976448116,0.1711429489919523
Gja3,5.614746948934366,0.002091071685067626,0.1711429489919523
Rab9,0.3879564781818754,0.002114827068851127,0.1711429489919523
Cpne4,-2.7650777614573716,0.0021204300338984214,0.1711429489919523
Gm7546,0.953324952805553,0.00212776789663788,0.1711429489919523
Rep15,0.47468241950685375,0.0021304820597459664,0.1711429489919523
Tmem40,3.51874339139922,0.0021361036858820307,0.1711429489919523
Syt11,-0.5472795579948642,0.0021391419450156406,0.1711429489919523
Slc27a2,-3.562776764221677,0.0021414649767596524,0.1711429489919523
Gtf3c1,-0.5939634121971782,0.002145777648881786,0.1711429489919523
Or10d5,0.6420540919816347,0.0021677690345645187,0.17212842477094323
Mbd1,-0.6124389489019304,0.002173493851962205,0.17212842477094323
Mgrn1,-0.5013878919600021,0.002185846719343423,0.17249717138705914
Col8a1,-1.6380030548288733,0.002200785249640605,0.17295068781979256
Pds5b,-0.5394982608627998,0.0022070273387676544,0.17295068781979256
Sbspon,1.8616291971523955,0.0022249296809405284,0.17307675148216212
Gm48366,0.7105545053871332,0.0022272926396030113,0.17307675148216212
Nlgn3,-1.6787050485760098,0.002231803550702519,0.17307675148216212
Gm16588,1.3910739458435435,0.002241030949667379,0.17319305394463896
Gpr27,1.3486751721502102,0.002257556596390216,0.17339231589559792
Acvr1,-0.3820234712839845,0.0022676800950726657,0.17339231589559792
Kif5a,-0.7077713072742924,0.0022744667711340526,0.17339231589559792
Vps52,-0.4350169878671082,0.0022745556341828388,0.17339231589559792
Zfyve27,-0.5503769911929286,0.0023089372066608087,0.17487932854044236
Pja2,-0.4106908399029514,0.002309668090664418,0.17487932854044236
Slc2a4,-4.957589428149362,0.0023484626104453175,0.17697513625125955
Oplah,-0.40470832777538135,0.002361934449854531,0.17697513625125955
Mdh1,-0.28532873104298595,0.002366997338066077,0.17697513625125955
Htt,0.9581005613032154,0.002368933646054697,0.17697513625125955
Nkapl,1.6689070308815852,0.0023930192842645413,0.17725091271451576
Kcnip2,-1.9953507937344517,0.0024017585020936426,0.17725091271451576
Gm3695,3.787579528519453,0.002408113470170642,0.17725091271451576
Vmn2r112,0.7810351008577907,0.002411490782873637,0.17725091271451576
