gene,log2FC,pvalue,padj
Lgsn,-7.600219524828859,0.0012550218506252348,0.17941726397181154
Rnf157,-1.3523230058023064,0.0012594512339480057,0.17941726397181154
Gm47647,-1.8156686122097438,0.0012737277454817177,0.17941726397181154
Gm48366,-0.904902660180718,0.0012831556210241711,0.17941726397181154
Gm45925,-2.970884003325235,0.0012838423499380467,0.17941726397181154
Cox14,-0.7980427826235168,0.001284757646846554,0.17941726397181154
Pak1ip1,-0.295017716929701,0.0012991819982349961,0.17941726397181154
Meis1,-0.6877938664139851,0.001307177492027859,0.17941726397181154
Gm37102,-1.1311889831435558,0.0013144488296928552,0.17941726397181154
Gm18025,-2.6523308607345575,0.001314942235832901,0.17941726397181154
Gja8,-5.647399859434067,0.0013157592921318054,0.17941726397181154
Oxtr,5.295340215486524,0.0013324949733465646,0.18023538956359994
Or4a74,-1.0725662794351063,0.0013381783956849225,0.18023538956359994
Gm7389,1.7586355935592592,0.0013674615463698057,0.18061150294653244
Aco1,0.8043571543974402,0.0013699369440752778,0.18061150294653244
Gm27029,-0.8866201152690865,0.0013757637321690135,0.18061150294653244
Grifin,-8.612331480800528,0.0013831666438679918,0.18061150294653244
Gstt1,-1.9489981382316532,0.0013894355474626866,0.18061150294653244
Arhgap23,-1.3863110330873933,0.001400712437085917,0.18061150294653244
Zbtb20,-0.6142783316818843,0.001418204438455437,0.18061150294653244
Gm47628,-1.2860263313286469,0.001418270790981296,0.18061150294653244
Fgd1,-3.2620167703896605,0.0014200544997686106,0.18061150294653244
Cnot6,-1.3762258934764926,0.0014264076214905708,0.18061150294653244
Chia1,-3.209661802898938,0.0014314658610137855,0.18061150294653244
Bscl2,0.5183697688291709,0.0014844864284680745,0.1814886484527532
Ush2a,-1.2326474462779853,0.0014869597670310755,0.1814886484527532
Gm44821,-1.4782011665267456,0.0014893574739095986,0.1814886484527532
Edn2,-7.067729614821131,0.0014930194571753,0.1814886484527532
Ate1,-0.5799850262598909,0.0015005429540708316,0.1814886484527532
Wnt7b,-6.503310616852232,0.001503122868569785,0.1814886484527532
Vma12,0.26460685680629403,0.00151848353427404,0.1814886484527532
Gm49094,-2.9813676237027047,0.0015253184713557354,0.1814886484527532
Gm11960,-0.9905734133468576,0.0015254652202435451,0.1814886484527532
Gm45105,-1.7083654957018033,0.0015280893055156682,0.1814886484527532
Gm29214,-2.7641730612343096,0.0015293522803935201,0.1814886484527532
Slc2a4,5.566242836088747,0.0015423645593333514,0.18204877169679784
Gm47933,-0.9832144901160031,0.0015544252569822188,0.18249118765661837
Ttc22,-3.6879665020594206,0.0015639888461677675,0.18252471608463544
Gm48128,-1.2505435780909604,0.0015713387692446066,0.18252471608463544
Ubtd2,1.22397514798143,0.0015852233919229008,0.18316839129618614
Htt,-1.026986274851092,0.0016316624543561574,0.18406846971015906
Gm12090,-2.7192082947279066,0.0016417249314209985,0.18406846971015906
Lbhd1,-1.1776711872490342,0.001645154742890088,0.18406846971015906
Cimip3,2.070924453482766,0.0016497082096385953,0.18406846971015906
Enah,-1.638198184134101,0.001657514875019504,0.18406846971015906
Gm13722,-1.1214022103764343,0.001658585438771999,0.18406846971015906
Emc10,0.46806731774615074,0.0016609362358352146,0.18406846971015906
Nol4l,-0.48245101886312014,0.0016654020943240686,0.18406846971015906
Kcnab3,1.1321246828804234,0.0016785004836790836,0.18406846971015906
Or2y1,-1.22046480612938,0.0016856893662752068,0.18406846971015906
Ythdc1,-0.9831259898000688,0.0016872343002744432,0.18406846971015906
Unc13a,0.7459662178049022,0.0016942998737249574,0.18406846971015906
Fbxo11,-0.8739474355246042,0.0017109954723848746,0.18406846971015906
Ccdc85c,-1.974272826826951,0.0017236098151417476,0.18406846971015906
Rpl32,0.6364295272607592,0.0017244717239170593,0.18406846971015906
Lag3,1.2668282025183544,0.0017271615541720308,0.18406846971015906
Osgepl1,-0.8247310695325396,0.001783705868517424,0.18700684187186345
Myo1e,1.0595288387306656,0.0017843881450196818,0.18700684187186345
Cybrd1,-1.274758738978262,0.0017869425645794536,0.18700684187186345
Vmn1r198,-1.4163078585705762,0.001789936697771085,0.18700684187186345
Vps13d,-0.7329268348137177,0.0017973236601513706,0.18700684187186345
Crygf,-5.2246273962202165,0.0018222513729988772,0.1876625915374021
Ric8b,-0.7393490543239558,0.0018234696850483684,0.1876625915374021
Gm48774,-0.8338620642543244,0.0018292700459599186,0.1876625915374021
mt-Nd4l,-1.0844991529607366,0.001867396991821793,0.18971056176665868
Or51k1,-0.8771026474184911,0.001897003497853284,0.18971056176665868
Lim2,-7.464774231703155,0.0018984741643501126,0.18971056176665868
Snap91,0.9136508078818792,0.0018999601166316143,0.18971056176665868
mt-Nd2,-1.3054397044912278,0.0019006053257485283,0.18971056176665868
Ftl1,0.5384519109147554,0.0019154647744689202,0.18971056176665868
Bzw1,0.4714337320534945,0.001916247113041958,0.18971056176665868
Gm50253,-3.471210920958224,0.0019183631553337994,0.18971056176665868
Sec22c,-2.3852922319584753,0.0019341684582707397,0.19041584902634898
Thg1l,-1.785719630668618,0.0019544675998309255,0.19046750617190517
Map9,-1.137816610098083,0.0019606687951636034,0.19046750617190517
Uba52,0.5382966590003839,0.001960720433399406,0.19046750617190517
Gm47102,-1.0736479867664865,0.0019930013799954894,0.19197365290172608
