source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
Proliferating MG,Homeostatic MG,Lamc1,Itga9_Itgb1,0.42727226,0.0,0.09890458,0.1505423806111294,0.2733426454221364,0.04966195,0.6640684,0.03933394830636021,0.9877237825118432,OpticNerve,MB
BAM,DAM-like MG,Adam15,Itgav,0.71020967,0.88,0.4335117,-0.05782243527329209,-0.16809349264667123,0.023950309,0.8053947,0.8818945776910215,0.9877237825118432,OpticNerve,MB
Iron+ MG (Fth1+),MHCII+ Mac/APC,Arf6,Smap1,0.39032397,0.27,0.11823879,0.10724779048461626,0.10357901129431021,0.009635501,0.68368375,1.0,0.9877237825118432,OpticNerve,MB
DAM-like MG,MHCII+ MG,Pdgfb,Lrp1,0.7152815,1.0,0.4579274,-0.34032157824830506,-0.05316066086927829,0.01136734,0.8096527,1.0,0.9878394849376178,OpticNerve,MB
Proliferating MG,T cell,Cxcl10,Dpp4,0.20053399,0.0,0.03801728,1.4542186012618763,0.5638749429110224,0.049141377,0.5506804,0.0021261137254306936,0.9879012888932412,OpticNerve,MB
DAM-like MG,T cell,Sptan1,Ptpra,0.68234855,0.98,0.433565,-0.1697865191999756,-0.214334353439398,0.011372498,0.80540437,1.0,0.9879560483500323,OpticNerve,MB
BAM,MHCII+ Mac/APC,Rgmb,Bmpr2,0.3902963,0.99,0.12330339,-0.3145203047318963,-0.43584104752378283,0.01583819,0.6882013,1.0,0.9879560483500323,OpticNerve,MB
MHCII+ Mac/APC,DAM-like MG,Icam1,Itgam_Itgb2,0.4944906,0.99,0.09887239,-0.2643600469519314,-0.46378534253059267,0.004326657,0.6640321,1.0,0.9879560483500323,OpticNerve,MB
Homeostatic MG,T cell,Lpl,Lrp1,0.39025748,1.0,0.12533511,-0.40599873857223023,-1.2246207797875193,0.004669667,0.6899521,1.0,0.9881886064568665,OpticNerve,MB
Iron+ MG (Fth1+),T cell,Ccl4,Ccr1,0.38766587,0.02,0.038038917,0.09363354025433313,0.7873779331502591,0.008773194,0.5507508,0.584110348250199,0.988274687503299,OpticNerve,MB
Iron+ MG (Fth1+),Iron+ MG (Fth1+),Adam10,Axl,0.71503067,1.0,0.50928414,-0.33344924951400096,-0.0953096085317805,0.010823493,0.8177091,1.0,0.9885313042449668,OpticNerve,MB
DAM-like MG,T cell,Gas6,Axl,0.21345416,1.0,0.038039938,-0.2524295664551283,-0.38543745681050856,0.0046104137,0.55075413,1.0,0.9886480399144478,OpticNerve,MB
BAM,BAM,Csf1,Csf2ra,0.40086538,0.74,0.098778576,-0.03418720884904919,-0.09989285517231136,0.009879872,0.6639262,0.9630179865562957,0.9888862437619992,OpticNerve,MB
MHCII+ Mac/APC,T cell,Tnf,Traf2,0.1958679,0.87,0.03805168,-0.07474961228094076,-0.26296387833877316,0.010057048,0.5507923,1.0,0.9890213974893587,OpticNerve,MB
