gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Samd14,0.7477944364033979,0.7223755140674779,852.1116599933334,507.03931503333337,0.8914773140998538
Kcnt1,1.4786926455782146,0.7224404061951821,5.342497333333333,1.275775683,0.8914870126499481
Ppp1ccb,-0.27297264326336884,0.7225492998952745,73.45262285000001,88.96072680333333,0.8915510030520236
BC055402,-0.05856941658857238,0.7225949038137098,954.1783617000001,993.7538456000001,0.8915368964805508
Uvrag,-0.08170961747783581,0.7228467163050256,1324.3270729666667,1401.555693066667,0.8917771919939902
Odad4,-0.20078203509602296,0.722915586869229,74.96798943666666,86.31162028333334,0.8917917716323036
Camk1,0.35632417103622743,0.7229312434309405,25015.089534666666,19540.3768,0.8917407091279222
Ptpn1,-0.09832799359450095,0.7229799190512447,9963.011595666667,10665.793798666666,0.8917303807062263
Morf4l2,0.052465955218430865,0.7229953920508928,4360.436513000001,4204.675193,0.891679104714179
Ccl27a,0.6007350825681308,0.7230484239878059,708.4057082666667,466.7948102666667,0.8916741550574669
Usp42,-0.04866803358892818,0.7234166073815607,250.62506706666667,259.25821186666667,0.8920578250221816
Rnf130,0.7476833749470805,0.7234408908088803,5185.060231666666,3087.605449,0.8920173987720761
Nsd1,0.12034514848495415,0.7235369830891598,2214.875079,2037.5331286666667,0.8920655136982691
Dscc1,0.4133643364701214,0.7236080947208257,59.786906296666665,44.64308351766667,0.8920828242433335
H2-Q2,0.02823185049902186,0.723717492154176,19.555420753,19.157085457333334,0.8921473280648206
Ubc,0.12481572984456857,0.7237231278385292,23831.090483333333,21855.914856666666,0.8920839217131181
Neurl1b,0.33478096254048295,0.7238070426936569,171.74185379333332,135.967795,0.892117007123841
Tut7,-0.1713882330042696,0.7238323844614442,2220.8120313333334,2501.0749403333334,0.8920778996701754
Lrrc73,-0.12948981490526895,0.7238516450295444,37.05604976,40.629771268,0.8920313042775786
Ubash3b,0.09679834119399544,0.7238958000229694,2981.6412476666665,2788.085419333333,0.8920153922080436
Mak16,-0.11577083735761536,0.7239753572762484,639.0346180333333,692.5119666666666,0.892043103388384
Rprd1a,-0.023435961288050335,0.7239972874471818,372.7091519333333,378.829473,0.8919998108368329
Garin5a,-0.011500666500809196,0.7240372116172902,140.80253707999998,141.9374555,0.8919786928428328
Zbed3,0.07367843478231428,0.7241095379180615,683.9252658,649.8243121333334,0.8919974928833809
Naip6,0.6147236431446018,0.7241325663344552,593.7666309333333,387.4153091666667,0.8919555669325351
