,log2fc,p,fdr
Krtcap2,1.1368254308194745,0.10445874613839018,0.7517629275291794
Krtcap3,-0.6084800822528017,0.6167766413523796,0.8475829505102037
Ksr1,-0.611761816523128,0.3813103017947945,0.7637747757727058
Ksr2,-3.9209281645358525,0.18468289022259207,0.7517629275291794
Kti12,1.1448480670152972,0.8086337178484956,0.9270090397160697
Ktn1,-0.10385812397361104,0.6672829882334959,0.8690295396240609
Kxd1,0.7692667164374619,0.21546386437545528,0.7517629275291794
Ky,-0.9078505110372169,0.596950965213261,0.8373582831372508
Kyat1,-1.0346336061337853,0.14568293556024273,0.7517629275291794
Kyat3,0.9737961436668658,0.43959133726517907,0.7708075392313957
Kynu,1.653729713680609,0.13962362219621996,0.7517629275291794
L1cam,-3.9300767796383167,0.06841589873155425,0.7517629275291794
L2hgdh,-1.0923314875351144,0.16816581606181782,0.7517629275291794
L3hypdh,-1.5191950848770934,0.08171375205460106,0.7517629275291794
L3mbtl1,-2.786483354416097,0.438585880636446,0.7704304184216086
L3mbtl2,-0.11692763127887187,0.7163391910523453,0.8902926707545492
L3mbtl3,-1.0273219715975053,0.16822294402274132,0.7517629275291794
L3mbtl4,-2.383615929609458,0.18353540649958977,0.7517629275291794
Lacc1,0.8931021689765856,0.3433296052637585,0.7637747757727058
Lactb,0.0010000969111590872,0.8474721244406792,0.9429313131777157
Lactb2,0.16421905204839482,0.6753002337312601,0.8724876678907353
Lactbl1,2.2546276930615416,0.45317453815044123,0.7778822932258281
Lag3,0.03337079334539806,0.913430243378444,0.9693388311855665
Lage3,0.8523106226326245,0.11840144365219292,0.7517629275291794
Lair1,0.4166987946241754,0.22056257235335602,0.7517629275291794
Lalba,0.33522510339118,0.7697448222652146,0.9106847987577538
Lama1,-0.3388608788878984,0.5089314422095195,0.8029670636833646
Lama2,-1.2417464638325955,0.18227723880865776,0.7517629275291794
Lama3,-0.7500951019766355,0.7615451456613691,0.9079105252375621
Lama4,-6.420083541519223,0.18473974385665015,0.7517629275291794
Lama5,-2.1318515683387935,0.09673629876682106,0.7517629275291794
Lamb1,0.08203325958547704,0.5944412586527881,0.8373582831372508
Lamb2,-1.4981321024877785,0.024204757416977436,0.7517629275291794
Lamb3,2.101893027957739,0.42264973081037416,0.7637747757727058
Lamc1,-1.27896404300342,0.11026899855605105,0.7517629275291794
Lamc2,-2.0216375257518195,0.6980191804420448,0.8821311038757583
Lamc3,-0.8621628633870787,0.997981645183331,0.9997203093621786
Lamp1,0.3819298621729373,0.9859518638956322,0.9952532680855685
Lamp2,0.8172332863399707,0.09895878906936907,0.7517629275291794
Lamp3,-0.34386390243593684,0.6246521624025936,0.8519011800176203
Lamp5,-3.772319174416755,0.04772581201314833,0.7517629275291794
Lamtor1,0.8007638505521204,0.2370207084179039,0.752097311879766
Lamtor2,1.4964927851036236,0.10889524087272574,0.7517629275291794
Lamtor3,0.9599813663303782,0.088408301542794,0.7517629275291794
Lamtor3-ps,-0.5630969273513992,0.9760188165964175,0.9914822586267887
Lamtor4,1.4827693551813348,0.06266348998350717,0.7517629275291794
Lamtor5,1.0562537146750945,0.12143466098314898,0.7517629275291794
Lancl1,0.3325067750538944,0.33316695676284563,0.7637747757727058
Lancl2,0.2528699198960641,0.5813299567065059,0.832280213559778
Lancl3,-3.7171278042017253,0.4578180229192896,0.7813448158719506
Lap3,0.6642373466748162,0.054100878885182634,0.7517629275291794
Laptm4a,0.5171686234462021,0.288782471841929,0.7637747757727058
Laptm4b,-1.144080579760408,0.21943517938545656,0.7517629275291794
Laptm5,0.1463982758623901,0.4661313834185928,0.7853159097770688
Large1,-0.23312060033304582,0.4083945754545727,0.7637747757727058
Large2,-2.609542875455232,0.42264973081037427,0.7637747757727058
Larp1,0.4264804521994333,0.19323664739902505,0.7517629275291794
Larp1b,2.0157114102577722,0.5186408984940476,0.8062602993549052
Larp4,1.4367952919502476,0.22629973395248848,0.7517629275291794
Larp4b,0.4532835791871679,0.16078065497616525,0.7517629275291794
Larp6,-1.6806473084696438,0.4218467814881077,0.7637747757727058
Larp7,0.6531861191676225,0.17452189506537116,0.7517629275291794
Lars,0.28939147862706016,0.6157628963542535,0.8470631342086671
Lars2,-0.5016591334047036,0.35015747856535984,0.7637747757727058
Las1l,0.28465808654581315,0.4391499976765095,0.770728346669183
Lasp1,0.37175330869113016,0.24243712321289,0.7526028285357111
Lat,0.8390716279520183,0.9080195325692455,0.966819485792227
Lat2,0.5875379544648247,0.10711530800466666,0.7517629275291794
Lats1,-0.557096174759595,0.28867656656484,0.7637747757727058
Lats2,-0.08708526491013706,0.6886417968347108,0.8780430534706992
Layn,1.0910922545426542,0.09451298673249284,0.7517629275291794
Lbh,-0.14980125526751903,0.6674789631210383,0.8690295396240609
Lbhd1,-2.694358996264369,0.09746435863528732,0.7517629275291794
Lbp,2.572398106705695,0.10782916785176752,0.7517629275291794
Lbr,-0.309181933947301,0.10699505707412015,0.7517629275291794
Lbx2,1.7739280474640933,0.1496871612754048,0.7517629275291794
Lca5,-1.362198395368081,0.29754684442957696,0.7637747757727058
Lca5l,0.9034672455142927,0.6517352876087763,0.8626670903234047
Lcat,-5.720784973146784,0.1386001810849498,0.7517629275291794
Lck,-1.1583505350694185,0.2408757169634011,0.7524593546480055
Lclat1,0.3599362105906213,0.1027847954341769,0.7517629275291794
Lcmt1,0.29037358380861256,0.30001956907043503,0.7637747757727058
Lcmt2,0.1033933018377737,0.9177902291562129,0.9710624372388071
Lcn2,-1.077856249153642,0.767198630600417,0.9098541530736334
Lcor,-0.42300727556283135,0.3947963631038959,0.7637747757727058
Lcorl,-0.09582788070849547,0.6647897603342308,0.8678801952133967
Lcp1,0.3947980273334183,0.03178123311382185,0.7517629275291794
Lcp2,0.3112429056644443,0.28238478513468046,0.7637747757727058
Lctl,0.5119716782786136,0.7953224963149562,0.9217020963795922
Ldaf1,0.5437864709908531,0.12625064651789883,0.7517629275291794
Ldah,0.9461892839065549,0.12561629930066665,0.7517629275291794
Ldb1,-0.5538964987808936,0.15328375669986102,0.7517629275291794
Ldb2,-1.3544558478815827,0.15612000973909437,0.7517629275291794
Ldb3,3.933326522166555,0.2622295110596644,0.7592585799757732
Ldha,-0.21924772710290247,0.7724137815700808,0.9118650002133232
