sym,wt_fc,ko_fc
Abat,-1.0908980712159924,-0.40380802772447844
Abca1,-0.478407027401456,0.9355401911290233
Abca12,0.021234907308737894,0.0
Abca13,0.5425389956917295,-0.6024177196399103
Abca14,0.926070940029645,-1.4799300379533777
Abca15,0.0,0.0
Abca16,-0.3493402176101932,0.0
Abca17,-0.020159917934878813,1.3805562124152253
Abca2,-0.15571522419913464,-0.47388214319515853
Abca3,-0.37150979499083725,0.3552225406148857
Abca4,-0.09323591594661451,-1.1553695284953314
Abca5,-0.3845000308655262,-0.6465324566876838
Abca6,1.2362532465453056,-2.035078096256316
Abca7,-0.3715112319775109,0.31371297775561224
Abca8a,1.156209413168142,-0.9434914299322106
Abca8b,0.13759026440566569,-1.5296020646603212
Abca9,-0.6412020715100137,1.2177133261671713
Abcb10,0.15703165373560957,0.557025071094305
Abcb11,-0.711730413951901,-4.4043194814027835
Abcb1a,0.557602001717397,-3.5979247794563567
Abcb1b,-0.05039336861103649,1.1972726219273806
Abcb4,0.32269232944973414,0.2489708127985093
Abcb5,0.0,0.0
Abcb6,-0.499239483060812,0.04757924606415109
Abcb7,0.054668072418929015,0.18996777651813623
Abcb8,0.051671111015036075,-0.26839223937516543
Abcb9,-0.17348319220807795,-0.3948731434859205
Abcc1,0.1915041356647187,0.10282985093718544
Abcc10,-0.21119142652834633,-0.3784229127031562
Abcc12,1.111396193667099,-0.2218593794753994
Abcc2,-1.6674044996809703,-1.3544263695890322
Abcc3,-0.7686952257149979,0.9572490467750541
Abcc4,0.10859619869453763,0.025660303597130785
Abcc5,-0.40305802802676105,0.17788184246339256
Abcc6,-1.0573283215717355,-2.4769273242928627
Abcc8,-0.9152378243111841,-2.0665667064586053
Abcc9,1.8204747043921925,-3.1384917578432088
Abcd1,-0.37503631824628236,0.9172855622985434
