total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
7912,2891,1.2007077856420627,GSM8880855,OpticNerve,Sham
4629,2305,0.49686757399006265,GSM8880855,OpticNerve,Sham
4028,2025,0.4468718967229395,GSM8880855,OpticNerve,Sham
3277,1820,0.3967043027158987,GSM8880855,OpticNerve,Sham
14644,4721,0.7306746790494401,GSM8880855,OpticNerve,Sham
4060,2052,0.3448275862068966,GSM8880855,OpticNerve,Sham
5772,2581,0.8316008316008316,GSM8880855,OpticNerve,Sham
4082,2072,0.29397354238118567,GSM8880855,OpticNerve,Sham
1766,1071,2.491506228765572,GSM8880855,OpticNerve,Sham
3706,1824,0.5666486778197518,GSM8880855,OpticNerve,Sham
3851,2084,0.18177096857958971,GSM8880855,OpticNerve,Sham
5835,2624,1.6795201371036845,GSM8880855,OpticNerve,Sham
3979,1931,0.3267152550892184,GSM8880855,OpticNerve,Sham
3138,1824,0.0,GSM8880855,OpticNerve,Sham
5289,2418,0.018907165815844205,GSM8880855,OpticNerve,Sham
589,470,0.1697792869269949,GSM8880855,OpticNerve,Sham
699,532,0.0,GSM8880855,OpticNerve,Sham
690,536,0.14492753623188406,GSM8880855,OpticNerve,Sham
12985,4474,0.908740854832499,GSM8880855,OpticNerve,Sham
5864,2774,0.5968622100954979,GSM8880855,OpticNerve,Sham
3857,2015,0.9592947886958777,GSM8880855,OpticNerve,Sham
3362,1861,0.41641879833432477,GSM8880855,OpticNerve,Sham
3863,2131,0.3365260160497023,GSM8880855,OpticNerve,Sham
18346,5197,1.1501144663686906,GSM8880855,OpticNerve,Sham
9515,3634,0.441408302679979,GSM8880855,OpticNerve,Sham
4540,2228,0.1762114537444934,GSM8880855,OpticNerve,Sham
4845,2330,0.5366357069143447,GSM8880855,OpticNerve,Sham
1812,1136,0.33112582781456956,GSM8880855,OpticNerve,Sham
14291,4609,0.3358757259813869,GSM8880855,OpticNerve,Sham
14196,4662,0.5705832628909552,GSM8880855,OpticNerve,Sham
5018,2487,0.438421681944998,GSM8880855,OpticNerve,Sham
2962,1676,0.6076975016880486,GSM8880855,OpticNerve,Sham
3611,1992,0.3600110772639158,GSM8880855,OpticNerve,Sham
9700,3517,0.5567010309278351,GSM8880855,OpticNerve,Sham
3146,1704,0.3178639542275906,GSM8880855,OpticNerve,Sham
4831,2422,0.33119436969571514,GSM8880855,OpticNerve,Sham
3573,1930,0.33585222502099077,GSM8880855,OpticNerve,Sham
5117,2473,0.7035372288450263,GSM8880855,OpticNerve,Sham
9881,3847,0.5566238234996458,GSM8880855,OpticNerve,Sham
4711,2287,1.103799617915517,GSM8880855,OpticNerve,Sham
