gene,spearman_dpt
Gria1,0.016001865013848943
Nr3c2,0.016091901972186243
Gm50254,0.01618722842507733
Nrg3,0.01618943327235341
Hemgn,0.016244893491966124
Gm16193,0.016532724564243463
Cd163,0.01654650271572131
Gm29266,0.016731182396590084
Neurod1,0.016736800456448646
Vldlr,0.016892296892313013
Aldh1l2,0.016960172822709126
Ncmap,0.016981579638173
Map2k6,0.0169873801073298
Gm44850,0.017002112342924168
Pacs1,0.017037881143288063
Nell1,0.01723405885413152
Fhitos,0.017273756384884393
A430010J10Rik,0.01730757169250481
Zfp955a,0.01731740981615076
Gm41804,0.017437264472546128
Gm12861,0.01755293724850394
Gm10401,0.017614258877253357
Pde6a,0.017701664814852486
Prrg4,0.017765294348948198
Gm10113,0.017794176814694446
Chil5,0.017915765295772112
Bcl2l14,0.0180655493456095
Tet1,0.018102552490649966
Aifm3,0.018126650870442032
Gm5134,0.018192335139590846
Snap91,0.018326211991892046
E230014E18Rik,0.018350201114277875
Ralyl,0.01836285400231317
Gm9828,0.01836791605871499
Fbxl7,0.01845831681386878
Spats1,0.018509314359625655
Pkp2,0.01871337171382316
Dlec1,0.01873789436898089
Klhl13,0.01875810664561495
Klf12,0.018798913435910686
Pard3,0.018982047529724197
Cacng8,0.018982363851864643
1700013F07Rik,0.01900867322926182
Rims3,0.019042552940491904
Chml,0.019070462350799313
Olfr457,0.019173072137253076
Stkld1,0.019264909986852662
5330417C22Rik,0.019352201770626368
Hrh4,0.019369044637217822
Gm37756,0.019406837771007955
Gm31508,0.0194218389486929
Gm45584,0.019443661899876636
Gm29018,0.0194455220182165
Loxl2,0.01946355565171107
Pdc,0.019490723276896042
Tafa1,0.019572238623603518
Rorb,0.01966194032957065
Rfx4,0.019687656626776663
Gm37362,0.019690968665829443
Impg2,0.019747949673306214
Fam189a2,0.019796469602884836
Wnt5b,0.019883051081124207
Slc2a12,0.019909715572812445
Prkca,0.019993762593837124
Gm43464,0.020015256833566853
Gm45345,0.020017074935492037
Gm48877,0.020068839916137185
4930432K21Rik,0.020164435273114442
9530052E02Rik,0.020168281837943867
Tchh,0.020168880837226417
Lrrc19,0.020273437774039667
Ptprh,0.020381018575988955
Gm26692,0.02048936155614182
Gngt1,0.02054529395163599
Hist1h2ac,0.020595074478078554
Gm47271,0.0206566919745283
Acsl6,0.020676456742900886
Gm15261,0.02068544680286369
Phactr1,0.02068590383405313
Zfp202,0.020692117617324625
Dlc1,0.020701455553711737
Tas1r1,0.02073555450307373
Gm29114,0.02073839866143476
6030443J06Rik,0.020760003219612248
Rgs7bp,0.020846109760398232
Sgk1,0.020869238501829656
Gm19719,0.020872757748806245
Gm765,0.02087632146121986
Runx1t1,0.020962276080133953
Gm12865,0.02110282717873797
Adamtsl5,0.021149442180147433
Robo2,0.02128026735355286
Gucy1a2,0.02142263263543548
Ifitm10,0.02144648958746384
Plxna4,0.02145127508691506
Gm47392,0.021519496639255935
Il1a,0.02161212020166359
Gm34882,0.021706923945005407
Atp8b5,0.021731081989170883
Tmtc1,0.021741824295023016
Ppef2,0.021743989762248606
Gm16189,0.021858711738958828
Tgfb2,0.021862586117214828
Hyal4,0.021874439937434903
Gm15991,0.02197396968931582
Phf21b,0.022063230850452777
Ajm1,0.02210527360623034
